date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-29 16:06:54,BarackObama,,41712,486204,1961619,"My statement on the death of George Floyd:",,,,1266400635429310466,https://twitter.com/BarackObama/status/1266400635429310466
2020-05-27 15:00:15,BarackObama,,6666,28178,123835,"If you believe in a more just, more generous, more democratic America, now is the time to fight for it. Here’s a terrific way to register voters, organize communities, and ramp up turnout in the battleground states that will decide this election: http://votesaveamerica.com/adopt",,,,1265659084524728321,https://twitter.com/BarackObama/status/1265659084524728321
2020-05-25 14:31:05,BarackObama,,4784,27856,155481,"On Memorial Day, we honor those who gave all for us. That takes different forms this year, but it’s even more vital with the loss of so many veterans to COVID-19. The way they lived, in service to one another, should be our roadmap in the months ahead.",,,,1264926971890409472,https://twitter.com/BarackObama/status/1264926971890409472
2020-05-23 21:55:57,BarackObama,,887,4272,23316,"And here’s more on the approach Sweden has taken, which differs from some of its neighbors:",,,,1264314146717384712,https://twitter.com/BarackObama/status/1264314146717384712
2020-05-23 21:55:56,BarackObama,,778,5717,30108,"South Korea has focused on testing to guard against outbreaks:",,,,1264314145899503616,https://twitter.com/BarackObama/status/1264314145899503616
2020-05-23 21:55:56,BarackObama,,3842,16895,74486,"As all 50 states begin the process of reopening, here are three articles that offer some lessons from other countries about the tradeoffs and policies involved. First, here’s what European nations have done to support workers:",,,,1264314143869460484,https://twitter.com/BarackObama/status/1264314143869460484
2020-05-23 18:03:41,BarackObama,TheUndefeated,2786,12866,80176,"The Class of 2020 is full of the leaders we need to bend the arc of history toward a better future—and our HBCU grads have the talent, skills, and vision to lead that change. I couldn't be prouder of all of you.",,,,1264255694729084930,https://twitter.com/BarackObama/status/1264255694729084930
2020-05-20 21:34:17,BarackObama,ObamaFoundation,2978,7885,52524,"As Chicago navigates the health crisis, its residents continue to show up for one another in their communities. It’s one of the things I love most about the city—and one of the many reasons it’s such a good home for the @ObamaFoundation.",,@ObamaFoundation,,1263221534094774272,https://twitter.com/BarackObama/status/1263221534094774272
2020-05-17 01:00:04,BarackObama,,27039,115862,570063,"Congrats to the high school Class of 2020, as well as to the teachers, coaches, and most of all, parents and family who’ve guided you along the way. Thanks for letting me be part of your big day!",,,,1261823767044476928,https://twitter.com/BarackObama/status/1261823767044476928
2020-05-16 21:47:43,BarackObama,UNCF,5033,28835,178406,"Congratulations to the HBCU Class of 2020! Michelle and I are so proud of you. As you set out to change the world, we’ll be the wind at your back. Can’t wait to see what you achieve.",,,,1261775362960363521,https://twitter.com/BarackObama/status/1261775362960363521
2020-05-16 16:00:01,BarackObama,,4741,27444,158007,"Graduating is a big achievement no matter what, but with all that the Class of 2020 has dealt with to get across the finish line, I think they’ve earned a little celebration. I hope you’ll all join me in honoring them at 2PM ET and 8PM ET.",,,,1261687858601103367,https://twitter.com/BarackObama/status/1261687858601103367
2020-05-14 18:44:56,BarackObama,,83900,331425,1869586,"Vote.",,,,1261004586359422979,https://twitter.com/BarackObama/status/1261004586359422979
2020-05-14 15:30:44,BarackObama,,11616,29932,172791,"Michelle and I want to do our part to give all you parents a break today, so we’re reading “The Word Collector” for @chipublib. It’s a fun book that vividly illustrates the transformative power of words––and we hope you enjoy it as much as we did.",,@chipublib,,1260955716644470784,https://twitter.com/BarackObama/status/1260955716644470784
2020-05-13 23:05:11,BarackObama,,19026,46176,207198,"Despite all the time that’s been lost, we can still make real progress against the virus, protect people from the economic fallout, and more safely approach something closer to normal if we start making better policy decisions now.",,,,1260707691900612615,https://twitter.com/BarackObama/status/1260707691900612615
2020-05-11 21:06:14,BarackObama,ObamaFoundation,10540,17002,109132,"Change comes when all of us step up and play our part in this democracy. By encouraging our young people, like these students from @ChiPubSchools, to start engaging in our civic life today, we’re already creating something better for tomorrow.",,@ChiPubSchools,,1259952980503248896,https://twitter.com/BarackObama/status/1259952980503248896
2020-05-10 15:03:15,BarackObama,,20859,57545,694278,"Even if you can’t give the moms in your life a hug today, I hope you can give them an extra thank you today. Thank you and Happy Mother’s Day to the woman who makes it all possible. Love you, @michelleobama.",,@MichelleObama,,1259499248598626305,https://twitter.com/BarackObama/status/1259499248598626305
2020-05-06 14:10:45,BarackObama,,6321,11300,71640,"There’s no limit to the devotion I’ve seen in teachers like these @ChiPubSchools educators. Their dedication shapes the best parts of who we become. I couldn’t be more thankful for their work, especially as they shift lessons online to keep students on track during this crisis.",,@ChiPubSchools,,1258036483090505729,https://twitter.com/BarackObama/status/1258036483090505729
2020-05-05 15:05:41,BarackObama,,7003,45140,212204,"I’ve always loved joining commencements––the culmination of years of hard work and sacrifice. Even if we can’t get together in person this year, Michelle and I are excited to celebrate the nationwide Class of 2020 and recognize this milestone with you and your loved ones.",,,,1257687918388424707,https://twitter.com/BarackObama/status/1257687918388424707
2020-05-01 18:25:11,BarackObama,FoodDepository,4338,11657,67665,"The folks of the Chicago @fooddepository—and food banks in communities like yours—are working overtime to feed the vulnerable and families who’ve fallen on hard times. But even as demand has spiked, donations have slowed. Their incredible efforts are worth supporting if you can.",,@FoodDepository,,1256288574313553922,https://twitter.com/BarackObama/status/1256288574313553922
2020-04-27 17:22:11,BarackObama,,7638,17986,104994,"The pandemic has magnified the financial insecurity of too many American families, the deep and real racial disparities in our society – and the imbalanced burdens on working moms. We have to create something better for America on the other side of this.",,,,1254823167937445890,https://twitter.com/BarackObama/status/1254823167937445890
2020-04-25 20:49:19,BarackObama,JoeBiden,17155,45438,233924,"In moments of crisis, we look out for one other. And we need leaders with empathy who will bring people together rather than drive them apart. @JoeBiden has the character and experience to guide us through one of our darkest times and heal us through a long recovery.",,@JoeBiden,,1254150519964217347,https://twitter.com/BarackObama/status/1254150519964217347
2020-04-25 00:00:58,BarackObama,MBK_Alliance,3257,16842,92315,"This pandemic has painfully brought to the surface many of the reasons I launched @MBK_Alliance—structural racism robs too many of our kids of their futures. The leaders on today's call aren't just tackling this crisis; they’re helping us build a more equitable future for all.",,@MBK_Alliance,,1253836363507609606,https://twitter.com/BarackObama/status/1253836363507609606
2020-04-24 20:53:55,BarackObama,,9075,52156,249877,"If we want life to approach anything like normal anytime soon, we need a comprehensive testing program. It’s not going to be cheap, but it will ultimately pay off many times over in saved lives, saved businesses, and saved jobs.",,,,1253789288745091077,https://twitter.com/BarackObama/status/1253789288745091077
2020-04-22 19:40:36,BarackObama,,8627,39692,179597,"While we continue to wait for a coherent national plan to navigate this pandemic, states like Massachusetts are beginning to adopt their own public health plans to combat this virus––before it's too late.",,,,1253046061091950593,https://twitter.com/BarackObama/status/1253046061091950593
2020-04-22 15:32:30,BarackObama,,4154,18125,94990,"We've all had to adapt to cope with a pandemic. Climate change will force far harsher changes on our kids. All of us should follow the young people who've led the efforts to protect our planet for generations, and demand more of our leaders at every level.",,,,1252983624850341888,https://twitter.com/BarackObama/status/1252983624850341888
2020-04-20 17:01:39,BarackObama,MichelleObama,7346,44498,279845,"Parents, you deserve a break – Michelle’s got storytime handled every Monday. She’s one of the best, I promise. (And I confess it makes me a little nostalgic.)",,,,1252281285923479553,https://twitter.com/BarackObama/status/1252281285923479553
2020-04-17 19:52:14,BarackObama,ObamaFoundation,2433,6262,48872,"Proud of the leaders in my hometown of Chicago who are showing us what it means to be there for each other––as neighbors and as citizens.",,,,1251237051518902279,https://twitter.com/BarackObama/status/1251237051518902279
2020-04-17 14:45:45,BarackObama,,1579,5194,32138,"When I think of people I’ve counted on over the years, Sarah Hurwitz comes to mind. She's the talented author of @HereAllAlong, and a longtime member of my team. Here she shares her experience with faith, traditions, and staying connected during this time.",,@HereAllAlong,,1251159923955609608,https://twitter.com/BarackObama/status/1251159923955609608
2020-04-15 16:43:48,BarackObama,,5681,35029,125583,"Democracy depends on an informed citizenry and social cohesion. Here’s a look at how misinformation can spread through social media, and why it can hurt our ability to respond to crises.",,,,1250464854114213889,https://twitter.com/BarackObama/status/1250464854114213889
2020-04-14 16:02:07,BarackObama,,5530,19959,98270,"For all of us who love this country and are willing to do our part to make sure it lives up to its highest ideals – now’s the time to fight for what we believe in. Join us at http://JoeBiden.com. And I’ll see you on the campaign trail as soon as I can.",,,,1250091976487317507,https://twitter.com/BarackObama/status/1250091976487317507
2020-04-14 15:47:23,BarackObama,,52034,162766,562927,"I’m proud to endorse my friend @JoeBiden for President of the United States. Let's go:",,@JoeBiden,,1250088269502709762,https://twitter.com/BarackObama/status/1250088269502709762
2020-04-13 18:01:58,BarackObama,,3347,22918,110819,"Dreamers have contributed so much to our country, and they are risking their lives fighting on the frontlines of this pandemic. They deserve permanent immigration status and a pathway to citizenship—as they are Americans in every way but on paper.",,,,1249759749102546946,https://twitter.com/BarackObama/status/1249759749102546946
2020-04-13 15:33:36,BarackObama,,6208,37828,179462,"We can't deny that racial and socioeconomic factors are playing a role in who is being hit the hardest by the virus. It's a reminder for our policymakers to keep our most vulnerable communities at the forefront when making decisions.",,,,1249722411781668865,https://twitter.com/BarackObama/status/1249722411781668865
2020-04-12 14:41:33,BarackObama,,14680,55697,526798,"Although our celebrations may look different this year, our unwavering faith remains the same. For me, Easter is a time of hope––a reminder of rebirth and renewal––and a belief in a better day to come. From my family to yours, we wish you all a blessed and joyful Easter.",,,,1249346924102275072,https://twitter.com/BarackObama/status/1249346924102275072
2020-04-10 21:08:07,BarackObama,,3272,13291,56456,"Let’s not use the tragedy of a pandemic to compromise our democracy. Check the facts of vote by mail.",,,,1248719432563732482,https://twitter.com/BarackObama/status/1248719432563732482
2020-04-10 21:08:06,BarackObama,,2386,9938,58337,"Everyone should have the right to vote safely, and we have the power to make that happen. This shouldn't be a partisan issue.",,,,1248719429904429056,https://twitter.com/BarackObama/status/1248719429904429056
2020-04-10 21:08:05,BarackObama,,9373,37344,191659,"No one should be forced to choose between their right to vote and their right to stay healthy like the debacle in Wisconsin this week.",,,,1248719426352005120,https://twitter.com/BarackObama/status/1248719426352005120
2020-04-10 13:50:02,BarackObama,,6333,42271,202851,"Some good news: states that started social distancing early and aggressively, like California, have avoided overwhelmed health care systems. It’s critical that we continue to listen to the evidence and experts and practice social distancing.",,,,1248609184767078405,https://twitter.com/BarackObama/status/1248609184767078405
2020-04-09 21:00:27,BarackObama,BloombergDotOrg,4679,27545,141190,"Mayors have been working hard to help us get through this pandemic, and they’ll have just as big a task to help people through hard times ahead. I spent some time with many of them today to thank them for their efforts, and asked them to keep up the good work.",,,,1248355116773769216,https://twitter.com/BarackObama/status/1248355116773769216
